melody;melody;melody;rhythm;rhythm;rhythm;drum;drum;hi-hat;;
C2;;;;;;;;;0x00;amber
C3;;;;;;;;;0x01;amber
C4;;;;;;;;;0x02;amber
C5;;;;;;;;;0x03;amber
C2;E2;G2;;;;;;;0x04;yellow
C3;E3;G3;;;;;;;0x05;yellow
C4;E4;G4;;;;;;;0x06;yellow
C5;E5;G5;;;;;;;0x07;yellow
;;;C2;;;;;;0x10;orange
;;;C3;;;;;;0x11;orange
;;;C4;;;;;;0x12;orange
;;;C5;;;;;;0x13;orange
;;;C2;E2;G2;;;;0x14;red
;;;C3;E3;G3;;;;0x15;red
;;;C4;E4;G4;;;;0x16;red
;;;C5;E5;G5;;;;0x17;red
;;;;;;bass;;;0x75;red
;;;;;;;snare;;0x76;red
;;;;;;;;hat;0x77;red
